Conference,Continent,Num_Papers
IEEEcloud,SA,300
IEEEcloud,EU,5246
IEEEcloud,NA,9517
IEEEcloud,AS,4038
IEEEcloud,Unknown,6222
IEEEcloud,OC,990
IEEEcloud,AF,112
asplos,NA,20200
asplos,OC,554
asplos,EU,6853
asplos,AS,5165
asplos,Unknown,1533
asplos,AF,73
asplos,SA,214
atc,EU,6653
atc,AS,14838
atc,AF,140
atc,NA,11491
atc,Unknown,4635
atc,OC,634
atc,SA,394
ccgrid,AS,2976
ccgrid,NA,9390
ccgrid,EU,4966
ccgrid,Unknown,5397
ccgrid,OC,656
ccgrid,SA,298
ccgrid,AF,75
cloud,NA,8549
cloud,Unknown,6245
cloud,AS,2038
cloud,EU,2803
cloud,SA,121
cloud,OC,197
cloud,AF,23
europar,NA,5028
europar,EU,3548
europar,AS,1286
europar,Unknown,2479
europar,SA,154
europar,OC,175
europar,AF,18
eurosys,NA,9578
eurosys,EU,3565
eurosys,AS,2521
eurosys,Unknown,7203
eurosys,OC,308
eurosys,SA,81
eurosys,AF,17
ic2e,Unknown,1818
ic2e,AF,24
ic2e,AS,892
ic2e,NA,2717
ic2e,EU,1614
ic2e,OC,188
ic2e,SA,87
icdcs,NA,17197
icdcs,EU,7547
icdcs,AS,7555
icdcs,Unknown,9625
icdcs,OC,771
icdcs,SA,243
icdcs,AF,122
middleware,NA,4776
middleware,EU,2774
middleware,Unknown,3549
middleware,AS,1191
middleware,OC,206
middleware,AF,35
middleware,SA,107
nsdi,Unknown,5451
nsdi,NA,10523
nsdi,AS,2696
nsdi,EU,3433
nsdi,SA,76
nsdi,OC,216
nsdi,AF,53
osdi,AS,14494
osdi,NA,13824
osdi,EU,7248
osdi,OC,833
osdi,SA,332
osdi,Unknown,110
osdi,AF,194
sigcomm,Unknown,6979
sigcomm,NA,11676
sigcomm,EU,4155
sigcomm,AS,2947
sigcomm,SA,134
sigcomm,OC,292
sigcomm,AF,35
