Conference,Year,pct_has_big,pct_no_big,pct_all_none
IEEEcloud,2012,9.35,81.29,9.35
IEEEcloud,2013,10.95,79.56,9.49
IEEEcloud,2014,7.04,81.69,11.27
IEEEcloud,2015,9.92,85.12,4.96
IEEEcloud,2016,19.19,67.68,13.13
IEEEcloud,2017,14.29,79.76,5.95
IEEEcloud,2018,18.95,76.84,4.21
IEEEcloud,2019,13.1,85.71,1.19
IEEEcloud,2020,9.52,77.38,13.1
IEEEcloud,2021,31.46,66.29,2.25
IEEEcloud,2022,33.33,61.9,4.76
IEEEcloud,2023,23.19,73.91,2.9
IEEEcloud,2024,30.19,62.26,7.55
asplos,2012,29.73,70.27,0.0
asplos,2013,15.91,79.55,4.55
asplos,2014,26.0,74.0,0.0
asplos,2015,22.92,75.0,2.08
asplos,2016,25.45,74.55,0.0
asplos,2017,28.57,71.43,0.0
asplos,2018,14.29,85.71,0.0
asplos,2019,22.97,75.68,1.35
asplos,2020,22.09,77.91,0.0
asplos,2021,22.67,77.33,0.0
asplos,2022,20.0,78.75,1.25
asplos,2023,28.48,71.52,0.0
asplos,2024,26.26,72.22,1.52
atc,2012,46.88,53.12,0.0
atc,2013,36.36,63.64,0.0
atc,2014,34.09,65.91,0.0
atc,2015,38.3,61.7,0.0
atc,2016,36.17,63.83,0.0
atc,2017,30.0,70.0,0.0
atc,2018,38.16,61.84,0.0
atc,2019,33.33,66.67,0.0
atc,2020,32.31,67.69,0.0
atc,2021,31.25,68.75,0.0
atc,2022,39.06,60.94,0.0
atc,2023,36.92,63.08,0.0
atc,2024,38.96,61.04,0.0
ccgrid,2012,7.3,83.94,8.76
ccgrid,2013,0.95,82.86,16.19
ccgrid,2014,11.11,83.33,5.56
ccgrid,2015,11.59,78.26,10.14
ccgrid,2016,9.46,87.84,2.7
ccgrid,2017,9.72,81.94,8.33
ccgrid,2018,11.11,88.89,0.0
ccgrid,2019,10.64,87.23,2.13
ccgrid,2020,4.85,79.61,15.53
ccgrid,2021,13.04,72.83,14.13
ccgrid,2022,8.62,89.66,1.72
ccgrid,2023,11.86,88.14,0.0
ccgrid,2024,9.33,88.0,2.67
cloud,2012,46.43,42.86,10.71
cloud,2013,52.17,43.48,4.35
cloud,2014,34.48,55.17,10.34
cloud,2015,40.0,60.0,0.0
cloud,2016,39.47,57.89,2.63
cloud,2017,23.26,73.26,3.49
cloud,2018,24.29,74.29,1.43
cloud,2019,18.18,80.0,1.82
cloud,2020,28.57,65.71,5.71
cloud,2021,34.78,63.04,2.17
cloud,2022,28.95,68.42,2.63
cloud,2023,30.0,67.5,2.5
cloud,2024,22.22,74.6,3.17
europar,2012,10.53,88.16,1.32
europar,2013,18.31,77.46,4.23
europar,2014,8.82,91.18,0.0
europar,2015,1.89,98.11,0.0
europar,2016,14.0,80.0,6.0
europar,2017,3.92,94.12,1.96
europar,2018,5.26,92.98,1.75
europar,2019,8.33,91.67,0.0
europar,2020,0.0,97.44,2.56
europar,2021,7.89,92.11,0.0
europar,2022,8.0,92.0,0.0
europar,2023,2.04,95.92,2.04
europar,2024,12.5,87.5,0.0
eurosys,2012,40.74,55.56,3.7
eurosys,2013,39.29,53.57,7.14
eurosys,2014,37.04,62.96,0.0
eurosys,2015,31.25,62.5,6.25
eurosys,2016,31.58,68.42,0.0
eurosys,2017,21.95,70.73,7.32
eurosys,2018,27.91,69.77,2.33
eurosys,2019,26.67,66.67,6.67
eurosys,2020,30.23,58.14,11.63
eurosys,2021,28.95,71.05,0.0
eurosys,2022,20.0,75.56,4.44
eurosys,2023,29.63,66.67,3.7
eurosys,2024,30.99,67.61,1.41
ic2e,2013,27.5,65.0,7.5
ic2e,2014,25.0,60.71,14.29
ic2e,2015,27.27,68.18,4.55
ic2e,2016,7.69,73.08,19.23
ic2e,2017,27.78,55.56,16.67
ic2e,2018,37.5,62.5,0.0
ic2e,2019,8.7,91.3,0.0
ic2e,2020,5.26,89.47,5.26
ic2e,2021,16.0,76.0,8.0
ic2e,2022,13.79,86.21,0.0
ic2e,2023,13.04,86.96,0.0
ic2e,2024,6.25,90.62,3.12
icdcs,2012,17.14,78.57,4.29
icdcs,2013,14.75,75.41,9.84
icdcs,2014,12.12,77.27,10.61
icdcs,2015,8.57,88.57,2.86
icdcs,2016,5.88,80.88,13.24
icdcs,2017,11.92,79.79,8.29
icdcs,2018,10.53,87.22,2.26
icdcs,2019,7.78,90.0,2.22
icdcs,2020,7.62,89.52,2.86
icdcs,2021,5.1,73.47,21.43
icdcs,2022,2.88,94.96,2.16
icdcs,2023,8.93,91.07,0.0
icdcs,2024,8.09,90.44,1.47
middleware,2012,16.67,79.17,4.17
middleware,2013,24.0,72.0,4.0
middleware,2014,25.93,74.07,0.0
middleware,2015,17.39,82.61,0.0
middleware,2016,23.81,61.9,14.29
middleware,2017,25.0,70.0,5.0
middleware,2018,18.18,81.82,0.0
middleware,2019,16.0,84.0,0.0
middleware,2020,3.33,96.67,0.0
middleware,2021,6.9,89.66,3.45
middleware,2022,7.69,84.62,7.69
middleware,2023,16.67,79.17,4.17
middleware,2024,10.26,89.74,0.0
nsdi,2012,43.33,56.67,0.0
nsdi,2013,36.84,63.16,0.0
nsdi,2014,34.21,65.79,0.0
nsdi,2015,40.48,59.52,0.0
nsdi,2016,29.55,70.45,0.0
nsdi,2017,34.78,65.22,0.0
nsdi,2018,30.0,67.5,2.5
nsdi,2019,38.78,61.22,0.0
nsdi,2020,27.69,72.31,0.0
nsdi,2021,40.68,59.32,0.0
nsdi,2022,47.44,50.0,2.56
nsdi,2023,51.04,39.58,9.38
nsdi,2024,41.96,48.21,9.82
osdi,2012,24.0,72.0,4.0
osdi,2014,33.33,57.14,9.52
osdi,2016,36.17,63.83,0.0
osdi,2018,29.79,70.21,0.0
osdi,2020,45.71,54.29,0.0
osdi,2021,16.13,74.19,9.68
osdi,2022,36.73,44.9,18.37
osdi,2023,30.91,56.36,12.73
osdi,2024,50.94,43.4,5.66
sigcomm,2012,38.71,54.84,6.45
sigcomm,2013,36.84,57.89,5.26
sigcomm,2014,37.78,60.0,2.22
sigcomm,2015,45.0,52.5,2.5
sigcomm,2016,46.15,53.85,0.0
sigcomm,2017,41.67,55.56,2.78
sigcomm,2018,25.0,67.5,7.5
sigcomm,2019,28.12,68.75,3.12
sigcomm,2020,32.08,66.04,1.89
sigcomm,2021,41.82,58.18,0.0
sigcomm,2022,30.91,65.45,3.64
sigcomm,2023,39.44,60.56,0.0
sigcomm,2024,40.32,59.68,0.0
